File Name,Lines,Max Complexity,Max Depth,num_of_tests,num_of_passed_tests,num_of_failed_tests,CBO,IFC(Information Flow complexity),Density,Diversity,Uniqueness,DDU,No of Modified ,No of Chunks,No of Failing tests,No of Repair Actions,Exception Type,label
18,2493,37,7,6541,1,6540,13,153.08,0.338941244,0.999948258,0.471609573,0.159839664,1,1,1,2,2,Bad
19,709,10,6,6538,1,6537,3,6.16,0.345312678,0.999940557,0.471774194,0.162899926,2,1,1,1,9,Bad
20,1722,40,9,369,1,368,14,183.62,0.440357333,0.999749617,0.235246996,0.103566802,1,1,2,3,2,Bad
21,196,14,5,6529,1,6528,23,3605.89,0.347942507,0.999945292,0.474876334,0.165220623,2,1,8,4,2,Bad
22,196,14,5,6529,1,6528,22,446.89,0.347918473,0.999945339,0.474876334,0.165209218,5,1,8,5,2,Bad
23,1542,66,7,372,1,371,0,24.49,0.434217639,0.999782628,0.231147541,0.100346522,2,1,5,2,2,Bad
24,413,18,6,380,1,379,17,905.82,0.473001342,0.998889043,0.228611898,0.108013603,4,1,4,3,2,Bad
25,1398,32,9,2896,1,2895,11,112.49,0.475800426,0.999915616,0.380805748,0.181172248,4,1,5,2,6,Bad
26,281,8,6,6489,7,6482,4,20.75,0.282168558,0.999953473,0.463905775,0.130893533,3,7,5,2,2,Good
27,585,4,4,6849,3,6846,3,7.51,0.556844612,0.998434308,0.733944954,0.408053405,3,3,6,3,11,Good
28,107,2,4,671,2,669,0,1.45,0.38898192,0.999741976,0.247519715,0.096255851,1,2,3,2,2,Bad
29,466,17,8,291,5,286,16,237.33,0.420891571,0.999715606,0.19631467,0.082603691,3,5,6,3,2,Bad
30,492,36,9,337,3,334,3,11.67,0.448537414,0.999558429,0.209879518,0.094097247,6,3,9,6,2,Bad
31,2432,37,7,6438,1,6437,12,130.18,0.328883722,0,0.000155594,0,1,1,1,2,2,Bad
32,2362,137,9,5082,4,5078,9,80.54,0.35525002,0.999918914,0.44092219,0.156624916,6,4,8,3,6,Bad
33,584,15,6,7221,1,7220,10,260.56,0.321160865,0.999939045,0.524294073,0.168372474,1,1,3,1,2,Bad
34,1228,128,9,4012,1,4011,0,19.53,0.521333462,0.999827436,0.595084088,0.310183712,3,1,5,3,23,Bad
35,1400,32,9,2821,1,2820,5,28.62,0.482202208,0.999906277,0.370332741,0.178558529,1,1,7,2,2,Bad
36,727,20,7,384,1,383,0,7.96,0.367712139,0.999687228,0.201826484,0.074190836,1,1,3,2,2,Bad
37,684,6,5,6543,1,6542,0,3.94,0.334463849,0.99994014,0.469096282,0.156886356,3,1,5,2,21,Bad
38,300,11,5,4007,1,4006,4,11.58,0.334394493,0.999891168,0.405275779,0.13550724,1,1,1,2,6,Bad
39,553,15,5,7113,2,7111,10,445.43,0.334394493,0.999891168,0.405275779,0.13550724,3,2,5,3,6,Bad
40,1802,27,7,522,2,520,11,109.35,0.525559229,0.99956613,0.656639004,0.344952959,2,2,2,2,21,Bad
41,849,124,6,6362,3,6359,21,407.11,0.427196331,0.999639656,0.202718538,0.086569409,2,3,4,3,2,Bad
42,1318,88,6,6252,1,6251,0,7.36,0.352094158,0.999937999,0.465941466,0.164045096,2,1,3,2,2,Bad
43,1970,29,9,6221,2,6219,0,10.23,0.570646961,0.999874723,0.564727955,0.32221992,4,2,6,5,6,Bad
44,299,10,5,3831,1,3830,6,66.55,0.372001898,0.999923247,0.419471776,0.15603232,2,1,2,1,6,Bad
45,978,32,8,177,1,176,8,59.06,0.344148484,0.999881053,0.398268398,0.137047162,4,1,8,4,2,Bad
46,281,16,6,3217,3,3214,0,8.67,0.452688442,0.998972779,0.140091116,0.063352485,1,3,9,3,2,Bad
47,724,65,7,6218,16,6202,12,405.23,0.562392568,0.998374037,0.575815739,0.323307949,3,16,5,2,2,Good
48,1921,32,9,6196,1,6195,23,494.13,0.366932617,0.999936572,0.455780427,0.167230097,2,1,6,2,2,Bad
49,594,29,7,1841,66,1775,13,3.79,0.366932617,0.999936572,0.455780427,0.167230097,8,66,10,4,2,Good
50,650,32,6,101,2,99,21,1466.64,0.34624414,0.999802801,0.262390671,0.090833316,3,2,3,3,2,Bad
51,292,10,5,3823,1,3822,2,2.48,0.484575439,0.997821782,0.106262986,0.051380271,1,1,2,2,6,Bad
52,1210,129,9,3803,1,3802,2,18.49,0.338758171,0.999873955,0.36947642,0.12514738,1,1,2,2,6,Bad
53,443,14,8,116,1,115,13,155.67,0.340138413,0.999875401,0.367657993,0.125039025,2,1,4,1,21,Bad
54,1780,29,9,6965,3,6962,22,10.51,0.496134333,0.997901049,0.113716295,0.056300139,5,3,9,6,6,Bad
55,539,8,5,96,1,95,3,8.73,0.508134428,0.997587719,0.091611479,0.046438653,1,1,2,2,11,Bad
56,487,11,4,6086,3,6083,2,3.98,0.508134428,0.997587719,0.091611479,0.046438653,2,3,3,1,6,Bad
57,403,12,6,6063,1,6062,6,5.17,0.314953609,0.999874186,0.425540432,0.134008633,1,1,2,2,2,Bad
58,301,25,7,177,1,176,8,149.74,0.344931173,0.999908079,0.416798732,0.14375366,2,1,2,1,11,Bad
59,2057,37,7,6042,1,6041,14,8.26,0.436316288,0.998571429,0.118589744,0.051668719,1,1,2,2,2,Bad
60,3027,415,7,5994,2,5992,2,7.5,0.274998493,0.999942604,0.431443506,0.118639504,3,2,4,2,2,Bad
61,3017,412,7,5987,3,5984,10,88.48,0.256289119,0.999944417,0.43035783,0.110289899,1,3,5,2,2,Bad
62,177,11,6,6023,2,6021,5,23.67,0.349364885,0.999926561,0.433572992,0.151464054,1,2,1,2,6,Bad
63,177,11,6,6023,2,6021,4,7.67,0.294882009,0.616974654,0.574074074,0.104444009,1,2,1,2,6,Bad
64,2011,37,7,6004,1,6003,1,8.24,0.294882009,0.616974654,0.574074074,0.104444009,4,1,5,1,2,Bad
65,1210,129,9,3732,1,3731,1,18.49,0.282642544,0,0.000166889,0,1,1,1,2,6,Bad
66,1926,63,7,5985,2,5983,17,918.07,0.33730361,0.999867502,0.3682339,0.124190166,2,2,2,1,2,Bad
67,697,71,9,134,1,133,7,104.05,0.352160951,0.999924053,0.433274544,0.152570788,1,1,2,2,2,Bad
68,2306,134,9,4595,1,4594,17,272.28,0.462182993,0.997980025,0.1184005,0.054612159,4,1,1,4,2,Bad
69,1923,62,7,5985,3,5982,12,18.02,0.499511595,0.99967389,0.517131474,0.258228929,1,3,2,2,2,Bad
70,1811,29,9,5968,5,5963,11,334.64,0.34953598,0.999924807,0.435623557,0.152254658,1,5,1,2,2,Good
71,642,23,6,5924,2,5922,20,8.45,0.34529496,0.999924628,0.435539076,0.150378112,1,2,3,3,2,Bad
72,449,7,5,420,1,419,1,8.4,0.354191569,0.99992819,0.444220817,0.157327969,2,1,3,2,2,Bad
73,1193,129,9,3600,1,3599,2,19.82,0.340823343,0.999868507,0.371763754,0.126689104,1,1,1,2,6,Bad
74,1718,46,7,170,3,167,10,26.56,0.340823343,0.999868507,0.371763754,0.126689104,2,3,9,4,2,Bad
75,2986,411,7,5764,1,5763,1,7.57,0.390245531,0.999095023,0.12704918,0.049535506,3,1,5,3,2,Bad
76,432,30,7,107,4,103,6,38.42,0.348971141,0.999923443,0.424092409,0.147984682,11,4,9,5,2,Good
77,1161,125,8,3476,1,3475,3,23.34,0.475284931,0.998060307,0.101705826,0.048245483,1,1,2,2,6,Bad
78,1628,46,7,156,1,155,5,26.71,0.340757059,0.999858442,0.36809816,0.12541429,2,1,1,1,2,Bad
79,779,15,8,5675,5,5670,2,8.13,0.401588117,0.999090157,0.122871452,0.04929882,2,5,3,2,21,Bad
80,2973,405,7,5634,2,5632,15,7.56,0.3423085,0,0.000177873,0,2,2,1,1,2,Bad
81,1289,154,6,5697,1,5696,5,9.1,0.3423085,0,0.000177873,0,1,1,4,1,2,Bad
82,1030,20,6,6358,2,6356,5,18.4,0.508677514,0.999842034,0.491245136,0.249845881,1,2,2,2,2,Bad
83,627,12,6,53,1,52,1,7.69,0.333698115,0.999918022,0.500464253,0.166990287,1,1,2,1,2,Bad
84,1243,154,6,5543,1,5542,2,9.26,0.579591462,0.995645864,0.059295261,0.034217388,3,1,7,3,2,Bad
85,230,11,6,77,2,75,14,8.5,0.493737299,0.99983678,0.475143403,0.23455773,4,2,9,4,2,Bad
86,2533,319,7,5374,7,5367,8,232.37,0.501841698,0.997408367,0.111912118,0.056016616,1,7,1,3,2,Bad
87,1097,33,8,112,1,111,4,15.76,0.351419736,0.999929903,0.420826162,0.147876252,4,1,8,2,2,Bad
88,354,30,6,92,7,85,4,10.82,0.424077245,0.998552124,0.117377511,0.04970506,2,7,5,1,2,Bad
89,856,13,7,443,8,435,4,11.04,0.442653852,0.997849976,0.074797523,0.033038225,2,8,3,3,2,Bad
90,727,18,6,6033,2,6031,1,10.9,0.353543491,0.999905667,0.46241528,0.16346849,2,2,4,3,2,Bad
91,203,27,6,96,1,95,3,9.2,0.436392845,0.99627193,0.081625564,0.035488015,1,1,5,3,2,Bad
92,916,29,9,1807,1,1806,9,75.17,0.436392845,0.99627193,0.081625564,0.035488015,1,1,2,2,2,Bad
93,916,29,9,1800,1,1799,9,75.17,0.39621858,0.999781825,0.260752688,0.103292519,1,1,2,2,2,Bad
94,2341,287,7,5157,3,5154,3,7.35,0.396290171,0.999775184,0.259230769,0.10270751,3,3,3,2,2,Bad
95,1532,23,7,2285,2,2283,20,370.83,0.356244017,0.999918286,0.424035507,0.151047769,2,2,4,2,2,Good
96,1723,62,7,5083,1,5082,10,17.76,0.484898507,0.999883963,0.326859875,0.158475474,3,1,3,3,2,Bad
97,1196,55,8,82,1,81,1,34.63,0.35844981,0.999910879,0.424778761,0.152248297,1,1,3,3,2,Bad
98,606,12,6,373,1,372,3,7.47,0.434752707,0.999096658,0.111596505,0.048473055,5,1,6,4,2,Bad
99,189,21,6,75,3,72,11,108.2,0.368936958,0.999533766,0.116352201,0.042906613,4,3,6,3,2,Bad
100,183,18,6,71,9,62,7,8.2,0.429489603,0.997117117,0.074480151,0.031896232,2,9,6,3,2,Good
101,483,7,6,21,1,20,8,55.92,0.433920188,0.997183099,0.070833333,0.030649433,2,1,2,1,2,Bad
102,529,15,7,778,1,777,1,7.52,0.550947972,1,0.035648148,0.019640275,2,1,1,2,2,Bad
103,996,28,7,1488,3,1485,4,10.56,0.243192075,0.99951988,0.132359868,0.032173416,3,3,5,4,2,Bad
104,498,11,5,106,1,105,1,5.3,0.490574562,0.998884707,0.667963684,0.327320526,1,1,2,2,2,Bad
105,2025,86,9,1209,4,1205,21,4646.93,0.351696128,1,0.121912351,0.042876102,5,1,7,4,2,Bad
106,1068,33,9,115,1,114,2,9.53,0.378841743,0.999665017,0.280688038,0.106300724,3,4,4,3,2,Bad
107,1000,13,6,115,1,114,2,6.67,0.46967007,0.999683247,0.233244563,0.10951329,1,1,1,2,2,Bad
108,614,19,7,452,1,451,1,7.81,0.46967007,0.999683247,0.233244563,0.10951329,4,1,4,3,11,Bad
109,2583,184,9,6099,2,6097,1,15.21,0.538614985,0,0.000164015,0,1,2,5,4,2,Bad
110,604,18,7,8112,2,8110,0,7.69,0.328744389,0.999946356,0.535387363,0.17599615,12,2,12,8,2,Bad
111,267,11,6,2498,1,2497,0,3.41,0.504216626,0.999929827,0.388633226,0.195941583,1,1,3,2,2,Bad
112,1612,30,9,3222,2,3220,13,496.02,0.504216626,0.999929827,0.388633226,0.195941583,1,2,6,1,2,Bad
113,1233,30,9,2642,1,2641,9,74.16,0.44816479,0.999858188,0.361941252,0.162186322,1,1,2,2,2,Bad
114,1887,27,7,638,1,637,6,34.15,0.429200528,0.999727628,0.220183486,0.094477129,1,1,2,2,2,Bad
115,936,15,6,693,7,686,14,176.58,0.379409578,0.99976929,0.242201835,0.091872495,2,7,5,2,2,Bad
116,950,19,6,696,8,688,12,128.81,0.38422763,0.999787916,0.231589958,0.088964389,2,8,5,3,2,Bad
117,849,19,6,7149,1,7148,11,105.11,0.358452991,0.999942195,0.48074706,0.17231526,3,1,9,1,6,Bad
118,1136,84,8,7142,2,7140,9,4.99,0.345081138,0.999949965,0.478476821,0.165105064,1,2,2,1,6,Bad
119,1360,39,9,912,1,911,15,1302.42,0.411214995,0.999750648,0.273836421,0.112577564,1,1,1,2,2,Bad
120,727,16,6,7134,1,7133,4,12.25,0.353409347,0,0.00014043,0,1,1,3,1,2,Bad
121,735,22,7,461,1,460,12,8.11,0.434436571,0.999781184,0.226656991,0.098446539,2,1,2,2,2,Bad
122,1526,88,6,7167,3,7164,4,7.67,0.55020373,0.999904554,0.583207262,0.320852184,1,3,5,2,2,Bad
123,1306,132,9,4492,1,4491,47,21.06,0.331819408,0.999899974,0.426385063,0.141468687,1,1,3,4,6,Bad
124,246,17,8,316,1,315,1,14,0.459829256,0.999755805,0.214964965,0.098823042,2,1,2,2,2,Bad
125,2119,72,7,7061,1,7060,10,274.52,0.361030092,0.999941749,0.481809701,0.173937668,1,1,2,2,11,Bad
126,308,16,5,318,2,316,23,498.43,0.460954989,0.999738798,0.219525207,0.101164808,1,2,4,1,2,Bad
127,259,13,7,336,6,330,11,8.1,0.460029229,0.99978028,0.230849948,0.10617439,2,6,5,4,2,Good
128,1290,128,9,4283,1,4282,2,20.82,0.332155508,0.999904351,0.420097245,0.139524267,2,1,3,2,6,Bad
129,220,9,6,6782,1,6781,6,29.38,0.298989202,0.999957691,0.470003681,0.14052008,1,1,3,2,2,Bad
130,969,16,7,577,1,576,7,48.21,0.440136317,0.999794686,0.225694444,0.099315926,1,1,1,2,2,Bad
131,208,63,9,2987,2,2985,2,148.5,0.363916563,0.99987771,0.369028449,0.134279142,2,2,2,2,2,Bad
132,1727,43,9,396,1,395,23,498.62,0.424238456,0.999807235,0.237983281,0.100942198,1,1,2,2,2,Bad
Closure_133,2453,148,9,5493,1,5492,2,17.63,0.549238332,0.999857463,0.574651626,0.315575713,1,1,1,2,11,Bad
Lang_1,1436,65,7,88,1,87,3,12.06,0,0.987017202,0.213675214,0,3,1,6,4,19,Bad
2,325,23,5,14,1,13,0,9.78,0.019798767,0.813186813,0.8,0.012880077,1,1,4,1,2,Bad
3,1427,58,7,87,1,86,4,16.94,0.614285714,0.987345987,0.213675214,0.129596696,4,1,1,2,2,Bad
4,85,4,5,31,1,30,1,10,0.019504712,0.696551724,0.888888889,0.012076481,4,1,5,2,2,Bad
5,322,22,5,13,1,12,1,9.56,0.940740741,0.846153846,0.8,0.636809117,2,1,6,3,9,Bad
6,125,6,4,130,1,129,2,7.75,0.615384615,0.99594514,0.273913043,0.167878378,1,1,2,3,24,Bad
7,1422,59,7,82,1,81,11,332.3,0.018595318,0.98630137,0.197580645,0.003623745,3,1,6,3,2,Bad
8,1250,68,6,103,2,101,3,8.19,0.014803358,0.95959596,0.551515152,0.007834407,3,2,5,3,2,Bad
9,870,37,7,115,2,113,5,21.3,0.369575758,0.967403767,0.547058824,0.195589383,1,2,4,1,2,Bad
10,867,36,7,113,2,111,1,5.26,0.33736089,0.966190962,0.547058824,0.178316582,2,2,4,1,2,Bad
11,335,35,6,6,1,5,1,5.25,0.339665407,1,0.583333333,0.198138154,1,1,4,2,2,Bad
12,331,33,6,5,2,3,3,5,0.694444444,1,0.5,0.347222222,3,2,5,3,1,Bad
13,293,6,5,35,1,34,1,9.88,0.7,0.92605042,0.833333333,0.540196078,4,1,8,4,22,Bad
14,6591,36,7,313,1,312,0,7.67,0.471428571,0.970378167,0.902857143,0.413024634,2,1,3,1,2,Bad
15,1101,15,6,10,2,8,5,26.04,0.023059061,0.955555556,0.037940379,0.000835986,2,2,4,2,2,Good
16,1413,58,7,82,1,81,0,8.19,0.074796748,0.98630137,0.210300429,0.015514312,1,1,2,2,19,Bad
17,125,6,4,36,1,35,2,7.75,0.014227762,0.979365079,0.142307692,0.00198294,6,1,6,4,6,Bad
18,1519,70,6,48,1,47,6,28.54,0.056410256,0.814492754,0.347826087,0.015981129,2,1,3,2,6,Bad
19,90,19,5,23,2,21,1,31,0.319470699,0.831168831,0.777777778,0.206526513,5,2,9,5,24,Bad
20,6564,36,7,235,2,233,3,11.73,0.848484848,0.986761229,0.921212121,0.771286647,2,2,4,3,18,Bad
21,1871,36,8,109,1,108,0,5.7,0.024964539,0.967730559,0.836065574,0.020198464,1,1,3,4,2,Bad
22,964,18,5,25,2,23,0,7.82,0.131147541,1,0.764705882,0.100289296,2,2,5,4,2,Bad
23,536,12,7,8,1,7,0,9.05,0.374117647,0.857142857,0.076923077,0.024667098,3,1,6,3,2,Bad
24,1423,56,7,57,1,56,0,8.21,0.225961538,1,0.227488152,0.051403573,1,1,1,2,2,Bad
25,380,2,3,23,1,22,0,1.36,0.017377567,0.9,0.416666667,0.006516588,1,1,1,2,2,Bad
26,1757,96,6,47,1,46,2,5.41,0.866666667,0.805050505,0.4375,0.305248316,1,1,1,3,6,Bad
27,1423,56,7,57,1,56,11,332.21,0.400925926,1,0.211206897,0.084678321,2,1,4,2,24,Bad
28,74,11,5,20,1,19,0,26,0.018318966,0.789473684,0.777777778,0.011248488,2,1,3,1,6,Bad
29,1824,6,5,423,1,422,0,2.92,0.783625731,0.985871202,0.67699115,0.523012249,1,1,1,1,2,Bad
30,6190,36,7,413,10,403,2,8.71,0.026008559,0.994808511,0.794444444,0.020555087,20,10,11,8,2,Good
31,6142,36,7,402,2,400,0,7.49,0.010786052,0.994731296,0.794444444,0.008523772,4,2,4,3,2,Good
32,991,14,6,45,1,44,0,4.28,0.010715373,0.988888889,0.127572016,0.001351793,4,1,7,5,2,Bad
33,1052,34,6,113,1,112,0,6.61,0.050297211,0.946517778,0.142857143,0.006801029,1,1,1,3,18,Bad
34,2278,41,6,152,27,125,2,4.46,0.022780196,0.990240502,0.430962343,0.009721594,2,27,3,3,2,Good
35,4485,10,5,331,1,330,0,5.44,0.245595684,0.982149697,0.851428571,0.205374556,2,1,4,1,5,Bad
36,1416,54,7,65,2,63,2,9.17,0.023306301,0.999183673,0.223744292,0.005210395,2,2,3,2,19,Good
37,4419,10,5,314,1,313,1,5.39,0.020456621,0.988912403,0.850574713,0.017206962,3,1,7,2,3,Bad
38,1757,96,6,45,1,44,2,5.41,0.023373481,0.787375415,0.338709677,0.006233513,1,1,1,2,6,Bad
39,5840,36,7,198,1,197,1,7.46,0.316954239,0.982361688,0.927152318,0.288681577,1,1,1,3,18,Bad
40,5774,34,7,196,1,195,0,7.33,0.027092113,0.982365254,0.926666667,0.024662632,1,1,7,2,2,Bad
41,1037,34,6,78,2,76,1,6.61,0.027346939,0.93972694,0.916666667,0.0235571,8,2,8,3,6,Bad
42,995,17,11,54,1,53,2,5.83,0.143162393,0.995121951,0.463157895,0.065983345,2,1,6,3,6,Bad
43,475,12,7,7,1,6,0,9.05,0.220795892,0.80952381,0.136363636,0.024373573,1,1,1,2,20,Bad
44,715,55,7,20,1,19,0,11.42,0.307359307,1,0.947368421,0.291182502,1,1,4,1,24,Bad
45,647,12,6,81,1,80,0,10.5,0.205263158,0.999691358,0.514124294,0.105498205,1,1,3,2,24,Bad
46,865,24,7,19,1,18,0,9.52,0.029434331,0.964912281,0.404761905,0.011495864,9,1,5,1,6,Bad
47,2718,11,6,206,2,204,3,8.5,0.130325815,0.996957404,0.721991701,0.093807866,2,2,2,3,18,Bad
48,847,18,5,63,1,62,0,7.86,0.13208852,0.986687148,0.931034483,0.121341766,2,1,3,1,2,Bad
49,946,14,5,25,1,24,0,7.74,0.375478927,1,0.764705882,0.287130944,1,1,4,2,2,Bad
50,1747,96,6,21,2,19,7,148.4,0.371764706,0.984210526,0.395833333,0.144833333,6,2,8,5,2,Good
51,973,23,6,52,1,51,0,4.49,0.539583333,0.965309201,1,0.520864756,1,1,1,1,24,Bad
52,691,23,7,14,1,13,2,9.33,0.065488565,0.934065934,0.315789474,0.019317044,1,1,2,1,6,Bad
53,990,32,8,22,1,21,1,7.57,0.161654135,1,0.833333333,0.134711779,4,1,0,3,2,Bad
54,294,20,6,12,1,11,1,8.22,0.173333333,0.878787879,0.777777778,0.118473625,1,1,4,2,9,Bad
55,265,5,3,6,1,5,3,7.83,0.685185185,1,0.75,0.513888889,2,1,1,1,2,Bad
56,1744,98,6,19,1,18,0,4.42,1,0.980392157,0.262295082,0.257152041,3,1,4,2,22,Bad
57,291,19,6,11,11,0,1,8,0.410746812,0,0.08,0,1,11,3,2,18,Good
58,1626,53,7,74,1,73,0,8.38,0.08,0.967404427,0.282722513,0.021880561,1,1,1,1,19,Bad
59,2364,11,6,182,1,181,0,4.92,0.016075511,0.995750106,0.711340206,0.011386559,1,1,2,3,1,Bad
60,2364,11,6,185,1,184,0,4.92,0.146199162,0.996216898,0.71559633,0.104223797,2,1,2,2,2,Bad
61,2364,11,6,184,2,182,0,4.92,0.153506793,0.996175096,0.71559633,0.109428736,1,2,2,4,2,Bad
62,955,20,11,42,1,41,0,6.24,0.153896562,0.997536946,0.530612245,0.081458269,4,1,2,3,6,Bad
63,618,21,6,12,1,11,1,11.9,0.488388459,0.939393939,0.094339623,0.043281996,4,1,8,4,6,Bad
64,231,4,4,73,1,72,1,5,0.131027254,0.960651289,0.127071823,0.015994721,5,1,9,4,2,Bad
Lang_65,989,32,8,21,1,20,1,7.57,0.045023501,1,0.8,0.036018801,8,1,5,4,2,Bad
Time_1,279,4,4,3946,1,3945,10,82.64,0.111188201,0.998117648,0.662639405,0.073538996,3,1,7,4,2,Bad
2,282,4,4,3946,1,3945,6,26.72,0.080856989,0.998998157,0.682408501,0.055122218,3,1,5,4,9,Bad
3,1486,8,4,1307,5,1302,0,1.9,0.11021428,0.999350886,0.47817715,0.052667741,20,5,1,2,6,Good
4,998,19,7,770,1,769,10,261.31,0.077173439,0.999341261,0.325207216,0.025080826,1,1,4,3,2,Bad
5,1646,8,4,1887,3,1884,16,1524.03,0.104047603,0.998113169,0.464646465,0.048254131,2,3,12,4,27,Bad
6,1141,11,8,2600,5,2595,0,4.95,0.090113841,0.998509026,0.535529716,0.048186687,3,5,7,4,2,Good
7,953,8,5,2703,2,2701,13,488.42,0.086434426,0.99932755,0.63598759,0.054934257,2,2,4,3,10,Bad
8,1327,12,8,3883,1,3882,4,23.25,0.094297151,0.997483795,0.582278481,0.054769044,3,1,6,5,9,Bad
9,1306,11,8,3883,1,3882,4,16.21,0.094306832,0.997484356,0.582278481,0.054774698,5,1,5,2,2,Bad
10,346,7,5,371,2,369,0,4.19,0.048733032,0.983827493,0.212274775,0.010177492,2,2,3,2,10,Bad
11,849,20,9,8,1,7,0,10.74,0.229471545,0.892857143,0.025203252,0.005163776,1,1,5,2,2,Bad
12,2108,6,4,1674,8,1666,3,6.6,0.083369202,0.99934544,0.48244099,0.040194393,8,8,8,4,2,Good
13,1872,50,9,971,1,970,5,22.93,0.102501855,0.995937701,0.376633359,0.03844879,3,1,6,3,6,Bad
14,366,9,4,3816,8,3808,0,6.33,0.076891397,0.999098924,0.697223677,0.053562195,2,8,5,2,10,Good
15,330,10,5,2725,1,2724,0,4.38,0.159724938,0.940636028,0.6,0.090145819,1,1,3,1,2,Bad
16,949,8,5,2596,7,2589,0,4.4,0.087391478,0.999334115,0.630977131,0.055105306,1,7,3,3,2,Bad
17,1301,11,8,3800,1,3799,1,7.13,0.104261201,0.998949307,0.689166667,0.071777848,5,1,11,6,2,Bad
18,1104,10,6,2485,1,2484,0,4.61,0.101751835,0.998375823,0.521212121,0.052948153,2,1,5,3,10,Bad
19,1278,11,8,3790,1,3789,2,7.9,0.090563187,0.999120315,0.703777336,0.063680251,1,1,1,2,6,Bad
20,2829,38,7,2575,1,2574,2,6.81,0.106157674,0.999262653,0.610259827,0.064735995,3,1,7,4,9,Bad
21,101,18,5,3783,2,3781,6,87,0.115464687,0.998660977,0.641434263,0.073963835,5,2,8,5,6,Bad
22,625,11,5,1814,2,1812,2,5.94,0.09753227,0.998753967,0.474603175,0.046231447,2,2,4,3,2,Bad
23,1278,11,8,3572,1,3571,0,6.9,0.144089444,0.990331239,0.54109589,0.077212369,8,1,3,2,6,Bad
24,510,14,5,1038,7,1031,7,40.57,0.094934943,0.999472318,0.427123552,0.040527553,1,7,4,1,2,Bad
25,1259,11,8,3729,3,3726,4,22.89,0.085348874,0.99907438,0.702830189,0.059930241,1,3,6,3,6,Bad
26,602,33,5,3763,8,3755,0,4.65,0.077322021,0.999210733,0.710526316,0.054895969,7,8,3,2,6,Good
Time_27,1868,50,9,738,1,737,8,150.9,0.083601167,0.995656884,0.326822917,0.027204111,2,1,1,2,9,Bad
Chart_1,1994,22,6,428,1,427,4,7.47,0.147796894,0.997105772,0.322632424,0.047546061,1,1,1,2,2,Bad
2,2180,41,8,349,2,347,5,15.67,0.153865413,0.987797648,0.393203883,0.05976223,8,1,4,3,18,Bad
3,1302,13,5,49,1,48,0,6.61,0.412401026,0.99744898,0.338797814,0.139364136,1,1,1,2,2,Bad
4,5866,56,8,425,22,403,0,7.01,0.06791541,0.998420221,0.195058518,0.013226551,2,22,1,2,18,Bad
5,737,16,6,126,1,125,5,4.79,0.505866115,0.954412698,0.594202899,0.286884156,2,1,4,2,12,Bad
6,179,5,4,479,2,477,3,3.88,0.289324983,0.943029848,0.44,0.120050521,1,2,8,2,2,Good
7,573,19,5,15,1,14,5,4.93,0.474074074,1,0.264957265,0.12560937,2,1,3,3,2,Bad
8,647,10,7,23,1,22,0,6.44,0.362732919,0.913043478,0.428571429,0.141938968,1,1,2,3,2,Bad
9,1039,12,5,32,1,31,0,6.02,0.337614155,0.997983871,0.264840183,0.089233525,1,1,1,2,9,Bad
